QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
"Kokia problema iškilo atsiradus daugybei išplėstinių 8 bitų kodų lentelių (pvz., Windows-1257 ar ISO 8859-13)?",Lentelės negalėjo užkoduoti skaičių.,Skirtingose koduotėse tas pats šešioliktainis ar dešimtainis kodas galėjo būti priskirtas visiškai skirtingiems simboliams.,Šios lentelės užėmė per daug kompiuterio atminties.,Jomis nebuvo galima užkoduoti standartinių ASCII simbolių.,B,
Kiek bitų buvo naudojama pradiniame ASCII standarte ir kiek unikalių simbolių jis galėjo užkoduoti?,"8 bitai, 256 simboliai.","7 bitai, 128 simboliai.","16 bitų, 65536 simboliai.","4 bitai, 16 simbolių.",B,
Ką apibrėžia Unikodo (Unicode) standartas?,Tikslų fizinį simbolių kodavimą kietajame diske.,"Kiekvieno simbolio unikalų numerį (kodą), bet nenusako realaus jo kodavimo fizinėje atmintyje.",Tik angliškos abėcėlės ir skaičių kodavimą.,Šrifto atvaizdavimo taisykles ekrane.,B,https://upload.wikimedia.org/wikipedia/commons/2/2c/Unicode_logo.svg
Kokia yra UTF-8 koduotės pagrindinė savybė?,Ji kiekvienam simboliui naudoja lygiai 2 baitus.,"Ji yra kintamo ilgio koduotė (nuo 1 iki 4 baitų), nurodanti, kaip atmintyje užkoduoti Unikodo simbolius.",Ji palaiko tik pirmus 128 ASCII simbolius.,Ji naudoja 7 bitus kiekvienam simboliui.,B,
"Remiantis UTF-8 šablonų lentele, kiek baitų reikės užkoduoti lietuvišką raidę 'Č' (Unikodas: U+010C)?",1 baito.,2 baitų.,3 baitų.,4 baitų.,B,
Kaip UTF-8 koduotėje atpažįstama 3 baitų simbolio pradžia?,Pirmasis baitas prasideda bitais '110'.,Pirmasis baitas prasideda bitais '1110'.,Visi trys baitai prasideda bitais '10'.,Pirmasis baitas prasideda bitu '0'.,B,
"Kodėl C++ kalboje simbolių masyvas `char s1[] = ""katinelis"";` užima 10 baitų, nors žodyje yra tik 9 raidės?",Dėl atminties lygiavimo (memory alignment) taisyklių.,Nes masyvo pabaigoje automatiškai pridedamas null pabaigos simbolis ('\0').,Nes viena iš raidžių yra koduojama 2 baitais.,Kompiliatorius visada rezervuoja lyginį baitų skaičių.,B,
"Pagal UTF-8 bitų sekų lentelę, kuriam Unikodo rėžiui priskiriami standartiniai ASCII simboliai (koduojami 1 baitu)?",Nuo U+0000 iki U+007F.,Nuo U+0080 iki U+07FF.,Nuo U+0800 iki U+FFFF.,Nuo U+1000 iki U+10FFFF.,A,
"Remiantis skaidrėmis, ar kompiuterio procesoriaus registre esanti reikšmė (pvz., '01000001') pati savaime nurodo, koks tai duomenų tipas?","Taip, procesorius automatiškai atpažįsta tekstą.","Taip, pirmas bitas visada nurodo, ar tai skaičius, ar raidė.","Ne, tai tik dvejetainių skaičių seka. Programuotojas (per kompiliatorių) nusprendžia, kaip ją interpretuoti.","Ne, tai priklauso nuo to, kokiame registre ji saugoma.",C,
"Jei turime simbolį 'Ä' su Unikodo numeriu U+00C4, kokia bus jo dvejato (binary) išraiška po konvertavimo į 2 baitų UTF-8 (šablonas: 110xxxxx 10xxxxxx)?",11000011 10000100 (C3 84).,11000000 11000100.,01000011 10000100.,11100000 10000011 10000100.,A,
Ką pavyzdyje demonstruoja lygybė 'Š (U+0160) != S (U+0053) + ˇ (U+030C)'?,Kad 'Š' visada užima 3 baitus.,Kad Unikode viena raidė su diakritiniu ženklu (U+0160) gali turėti atskirą kodą ir skirtis nuo iš atskirų simbolių sudėliotos kombinacijos.,Kad UTF-8 negali atvaizduoti diakritinių ženklų atskirai.,Kad operacinė sistema nemoka sudėti dviejų raidžių.,B,
"Kodėl svarbu teisingai nurodyti HTML dokumento koduotę (pvz., `<meta charset=""UTF-8"">`)?",Kad paieškos sistemos galėtų ignoruoti dokumentą.,"Kad naršyklė žinotų, kokią kodų lentelę naudoti interpretuojant baitus, išvengiant „krakoziabrų“ (iškraipyto teksto).",Kad HTML dokumentas užimtų mažiau vietos serveryje.,UTF-8 nurodymas HTML faile yra tik rekomendacinio pobūdžio ir neturi realaus poveikio.,B,
Kiek baitų atmintyje įprastai užima duomenų tipas `char` C/C++ kalbose (remiantis skaidrėmis)?,2 baitus.,4 baitus.,1 baitą (8 bitus).,8 baitus.,C,
"Remiantis „Lietuviškų simbolių kodų lentele“ (Code page 775) ir „Vakarų Europos kodų lentele“ (Code page 850), kas atsitinka, kai tas pats 16-tainis kodas (pvz., B6_16) atidaromas su skirtingomis koduotėmis?",Abejose rodoma to pati raidė 'Č'.,"Priklausomai nuo pasirinktos koduotės, ekrane atvaizduojami skirtingi simboliai (pvz., vienur 'Č', kitur 'Â').","Programa užlūžta, nes kodas B6_16 yra nelegalus.",Simbolis automatiškai konvertuojamas į UTF-8.,B,https://upload.wikimedia.org/wikipedia/commons/c/ce/Codepage-437.png
"Kas atsitiks, jei tekstiniame faile, išsaugotame kaip UTF-8, yra tik paprasti angliški žodžiai (ASCII simboliai)?",Failas bus dvigubai didesnis nei naudojant ASCII.,"Kiekvienas simbolis užims lygiai 1 baitą, lygiai taip pat, kaip ir ASCII koduotėje.",Kiekvienas simbolis užims 4 baitus.,Naršyklė nesugebės atidaryti tokio failo.,B,
Kokio tipo duomenims koduoti dažniausiai prireikia 4 baitų UTF-8 formatu?,Angliškoms raidėms.,Lietuviškoms raidėms.,Japonų ir kinų rašmenims.,Emoji ir kitiems specialiems simboliams.,D,
Kas yra C++ duomenų tipas `wchar_t`?,1 baito char atitikmuo.,"Platus simbolis (wide character), paprastai užimantis 2 (Windows) arba 4 (Linux/Mac) baitus, skirtas platesnėms koduotėms.","Duomenų tipas, skirtas tik skaičiams su slankiuoju kableliu.",Loginis duomenų tipas.,B,
"Kokią problemą iliustruoja skaidrėse pateiktas kojinių su žuvimis etiketės pavyzdys (""Auk?iausios kokyb?s..."")?",Spausdintuvo dažų trūkumą.,"Simbolių koduotės klaidą, kai programa (ar spausdintuvas) nesugeba teisingai atvaizduoti specifinių (lietuviškų) raidžių.",Tyčinį dizaino sprendimą.,Per didelį simbolių skaičių eilutėje.,B,https://upload.wikimedia.org/wikipedia/commons/2/23/Mojibake_example_UTF-8_interpreted_as_ISO-8859-1.png
"Jeigu simbolio UTF-8 kodavimo šablonas yra `1110xxxx 10xxxxxx 10xxxxxx`, iš kelių baitų susideda šis simbolis?",Vieno baito.,Dviejų baitų.,Trijų baitų.,Keturių baitų.,C,
Kokia yra paskutinio 2-ų baitų UTF-8 simbolių rėžio ('Last code point') Unikodo reikšmė?,U+007F,U+07FF,U+FFFF,U+10FFFF,B,
"Kaip C++ kalboje galima sužinoti, kokia sveikoji reikšmė atitinka kintamąjį `char c = 'A'`?",Naudojant funkciją length(c).,"Konvertuojant `char` į `int`, pvz., `int(c)`.",Naudojant typeof() operatorių.,Neįmanoma sužinoti.,B,
"Ką atvaizduos komanda `std::cout << sizeof(std::string(""katinelis""));` C++ kalboje?",Tikslaus simbolių skaičiaus atitikmenį (9).,Simbolių skaičių plius null pabaigos simbolį (10).,"Dydį baitais, kurį užima std::string objektas atmintyje (pvz., 40), o ne paties teksto ilgį.",Kompiliavimo klaidą.,C,
"Kas atsitiks atidarius failą su 'Western European (DOS)' koduote, nors jame išsaugoti lietuviški ('Baltic') tekstai?",Tekstas bus automatiškai išverstas į anglų kalbą.,Visos lietuviškos raidės dings.,"Specifinės lietuviškos raidės bus pakeistos kitais nesusijusiais simboliais, kurių kodai atitinka 'Western European' lentelę.","Failas neatsidarys, bus rodomas klaidos pranešimas.",C,
Kurie bitai UTF-8 koduotėje (2 baitų modelyje: `110xxxxx 10xxxxxx`) yra palikti konkretaus Unikodo simbolio numerio įrašymui?,Tik patys pirmi trys bitai ('110').,"Visi bitai, pažymėti '1' arba '0'.","Bitai, pažymėti 'x' (iš viso 11 bitų).",Tik antrojo baito bitai.,C,
"Kokia yra minimali duomenų talpa C/C++ kalbose, remiantis pateiktomis skaidrėmis?",1 bitas.,1 baitas (8 bitai).,4 baitai.,8 baitai.,B,
Ką kompiuteris saugo fizinėje atmintyje vietoje raidės 'A'?,Iš anksto nupieštą 'A' raidės paveikslėlį.,"Dvejetainę skaičiaus išraišką (pvz., 01000001).",Specialų operacinės sistemos signalą.,Šrifto failą kiekvienai raidei.,B,
"Jei paimtume Unikodo numerį U+2623 (Biohazard Sign), į kokį UTF-8 baitų šabloną jis patektų?",1 baito (`0xxxxxxx`).,2 baitų (`110xxxxx 10xxxxxx`).,3 baitų (`1110xxxx 10xxxxxx 10xxxxxx`).,4 baitų (`11110xxx ...`).,C,https://upload.wikimedia.org/wikipedia/commons/1/1b/Biohazard_symbol.svg
Kurį bitą nusprendė išnaudoti kuriant išplėstines kodų lenteles (viršijančias pradinio 7 bitų ASCII ribas)?,1-ąjį bitą.,7-ąjį bitą.,"8-ąjį bitą, leidžiant gauti dar 128 naujus kodus.",Pridėjo papildomą registrą.,C,
"Pagal Unikodo struktūrą, pirmosios 256 pozicijos atitinka kokį senesnį standartą?",Windows-1257.,ISO 8859-1.,US-ASCII.,UTF-16.,B,
Kokia yra `char` duomenų tipo esmė C++ kalboje žemame lygmenyje?,Tai yra abstraktus objektas tekstui saugoti.,"Tai tėra 8 bitų skaičius, kurį programavimo aplinka sutinka traktuoti kaip simbolį.",Tai rekursyvus duomenų tipas.,Tai operacinės sistemos kontroliuojamas blokas.,B,
