"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kuris iš šių teiginių teisingai apibūdina Intel 8086 procesoriaus adresų magistralę ir maksimalią adresuojamą atmintį?","16 bitų adresų magistralė – galima adresuoti 64 KB","20 bitų adresų magistralė – galima adresuoti 1 MB","24 bitų adresų magistralė – galima adresuoti 16 MB","32 bitų adresų magistralė – galima adresuoti 4 GB","B","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Intel_C8086.jpg/220px-Intel_C8086.jpg"
"Koks buvo pagrindinis Intel i386 (80386) architektūrinis žingsnis, palyginti su 8086?","Atsirado konvejeris (pipeline)","Tapo pirmuoju 32 bitų procesoriumi su virtualia atmintimi","Duomenų magistralė išplėsta iki 64 bitų","Atsirado L2 spartinančioji atmintis","B",""
"Kokia yra pagrindinė IA-32 architektūros sinoniminių pavadinimų x86 ir i386 kilmė?","x86 – pagal pirmąjį 64 bitų procesorių; i386 – pagal Intel 386 lustą","x86 – pagal pirmąjį personalinio kompiuterio procesorių 8086; i386 – kadangi IA-32 pirmą kartą pritaikyta 80386 procesoriuje","x86 – pagal Intel korporacijos pavadinimą; i386 – pagal laikrodžio dažnį 386 MHz","x86 ir i386 yra visiškai skirtingos architektūros ir neturi nieko bendra","B",""
"Pentium IV procesorius dažnai veikė lėčiau nei Pentium III nepaisant aukštesnio laikrodžio dažnio. Kokios dvi pagrindinės priežastys nurodomos paskaitoje?","Mažiau branduolių ir nebuvo SSE instrukcijų","Per ilgas konvejeris (20 pakopų) ir perkaitimo problema","Nebuvo L2 spartinančiosios atminties ir per maža duomenų magistralė","Nepalaikė 64 bitų operacijų ir trūko Hyper-Threading","B",""
"Kurie iš šių teiginių apie Intel Itanium (IA-64) architektūrą yra teisingi?","Itanium buvo visiškai nauja architektūra, nesuderinama su x86","Itanium greitai ir efektyviai paleido x86 programas","x86 programos Itanium veikė per emuliacĳą ir itin lėtai","Itanium buvo pirmasis 64 bitų procesorius ir skirtas aukščiausios klasės serveriams","A,C,D",""
"Pateiktos instrukcijos formato schemoje (Instruction Prefixes | Opcode | ModR/M | SIB | Displacement | Immediate) – ką nurodo SIB baito laukai Scale, Index ir Base?","Instrukcijos prefiksų skaičių, opkodo ilgį ir registro numerį","Atminties adreso apskaičiavimo formulę: (Index × 2^Scale) + Base","Operandų dydį baitais, duomenų poslinkį ir tiesioginę reikšmę","Registro tipą (bendros paskirties, segmentų ar FPU)","B","https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Ia32-tut-opb.png/320px-Ia32-tut-opb.png"
"Kokia IA-32 instrukcija atliekama šiuo kodu: `OR EAX, [ECX + EDX*2 + 406080A0h]`?","EAX registro reikšmė logiškai OR-inama su reikšme, esančia atminties adrese ECX + EDX×2 + 406080A0h","EAX priskiriama reikšmė iš atminties adreso EDX","ECX registras didinamas 2 kartus ir pridedama konstanta","EAX ir ECX registrai susumuojami ir rezultatas įrašomas į EDX","A",""
"Kurios iš šių IA-32 instrukcijų priklauso duomenų judėjimo (data transfer) grupei? Pasirinkite visus teisingus atsakymus.","ADD, SUB, MUL","MOV, XCHG","CMP, TST","BSWAP, MOVCC","B,D",""
"Kodėl IA-32 architektūroje negalimos tiesioginės memory-to-memory operacijos (pvz., ADD [mem1], [mem2])?","Nes atmintis yra per lėta bet kokioms operacijoms","Nes IA-32 instrukcijų formatas leidžia tik vieną atminties operandą vienoje instrukcijoje","Nes tokios operacijos yra galimos – tai klaidingas teiginys","Nes atmintis adresuojama tik per segmentų registrus","B",""
"Kiek bendrosios paskirties 32 bitų registrų turi IA-32 architektūra pagal paskaitos klasifikaciją ir kaip jie vadinami?","4 registrai: EAX, EBX, ECX, EDX (tik akumuliatoriaus grupė)","8 registrai: EAX, EBX, ECX, EDX, ESI, EDI, ESP, EBP","6 registrai: EAX, EBX, ECX, EDX, ESI, EDI (be steko rodyklių)","16 registrų: R0–R15 (kaip MIPS architektūroje)","B","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Register_set_of_IA-32_architecture.svg/400px-Register_set_of_IA-32_architecture.svg.png"
"Registro EAX struktūroje egzistuoja daliniai registrai AX, AH ir AL. Kokio dydžio kiekvienas iš jų ir kaip jie sutampa su EAX?","AX – 32 bitai, AH – 16 bitų, AL – 8 bitai","AX – 16 bitų (žemieji EAX bitai 15–0), AH – aukštieji 8 bitai AX (15–8), AL – žemieji 8 bitai AX (7–0)","AX – 24 bitai (viduriniai EAX bitai), AH ir AL – po 4 bitus","AX, AH ir AL yra atskiri nepriklausomi registrai be jokio sutapimo","B",""
"Koks yra EBX registro pirminis funkcinis paskirtis IA-32 architektūroje?","Naudojamas kaip skaitiklis LOOP operacijoje ir bitų poslinkiams","Naudojamas kaip bazinis registras rodyklėms į atminties adresus","Saugo dalybos ir daugybos rezultatus kartu su EDX","Rodo į sekančią vykdomą instrukciją","B",""
"Kuo skiriasi ESP ir EBP registrų paskirtys steko operacijose?","ESP ir EBP atlieka tą pačią funkciją – abu rodo į steko viršų","ESP rodo į steko viršų (naudojamas PUSH/POP), EBP rodo į steko kadrą – parametrus ir vietinius kintamuosius","EBP rodo į steko viršų, o ESP – į steko dugną","ESP naudojamas tik su CALL instrukcija, o EBP – tik su RET","B",""
"Koks yra EIP registro statusas IA-32 architektūroje ir kodėl jo negalima tiesiogiai modifikuoti?","EIP yra 16 bitų registras, modifikuojamas MOV instrukcija","EIP rodo į sekančią instrukciją ir galima tik skaityti – tiesiogiai modifikuoti jo negalima (keitiamas tik šuolių ir CALL/RET instrukcijomis)","EIP yra segmentų registras, naudojamas atminties adresavimui","EIP naudojamas tik FPU operacijose","B",""
"Pažvelkite į EFLAGS schemą. Kurie iš šių flagų yra statusų (S) flagai, naudojami aritmetinių/loginių operacijų rezultatams fiksuoti?","OF (Overflow Flag) ir SF (Sign Flag)","DF (Direction Flag)","ZF (Zero Flag) ir CF (Carry Flag)","ID (Identification Flag) ir VIP (Virtual Interrupt Pending)","A,C","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Eflags_register_layout.svg/500px-Eflags_register_layout.svg.png"
"Zero Flag (ZF) įsijungia (tampa 1) po operacijos `XOR AL, BL`, kai AL = 72 ir BL = 72. Kodėl?","Nes abu operandai yra teigiami skaičiai","Nes XOR rezultatas lygus nuliui (0100 1000 XOR 0100 1000 = 0000 0000)","Nes AL registras yra 8 bitų ir netelpa rezultatas","Nes ZF visada įsijungia po XOR operacijos","B",""
"Carry Flag (CF) naudojamas su unsigned skaičiais. Kokia sąlyga jis tampa 1?","Kai rezultatas yra neigiamas","Kai aritmetinės operacijos rezultatas netelpa į registrą (persikelimas už ribų)","Kai abu operandai yra lygūs","Kai atliekama daugybos operacija","B","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Eflags_register_layout.svg/500px-Eflags_register_layout.svg.png"
"Operacija: AL = 50h (80 dešimtainiu) + DH = 4Fh (79 dešimtainiu) = 9Fh, interpretuojama kaip -97 (signed). Kurie flagai įsijungs?","Zero Flag (ZF) – rezultatas lygus nuliui","Overflow Flag (OF) – du teigiami skaičiai davė neigiamą rezultatą","Sign Flag (SF) – rezultato kairiausias bitas yra 1 (rezultatas neigiamas)","Carry Flag (CF) – rezultatas netelpa į unsigned registrą","B,C",""
"Kurios šuolių instrukcijos yra sinonimai ir visos vykdomos esant tai pačiai sąlygai CF = 1?","JB (Jump if Below)","JL (Jump if Less)","JNAE (Jump if Not Above or Equal)","JC (Jump if Carry)","A,C,D",""
"Kokia sąlyga vykdoma JGE instrukcija (Jump if Greater or Equal) ir su kokia vėliava ji susijusi?","ZF = 1 arba SF ≠ OF","SF = OF (signed palyginimas – didesnė arba lygu)","CF = 0 ir ZF = 0","OF = 0","B",""
"Kokia yra IA-32 instrukcijų skaičiaus skalė ir ką tai reiškia programuotojui?","IA-32 turi tik 32 instrukcijas – tai RISC architektūra","IA-32 turi daugiau nei 300 instrukcijų (neskaičiuojant variacijų), o tai suteikia didelį lankstumą, bet ir sudėtingesnį dekodavimą – būdinga CISC architektūrai","IA-32 turi lygiai 256 instrukcijas, nes opkodas yra 8 bitų","IA-32 turi apie 1000 instrukcijų, tačiau programuotojas gali naudoti tik 300 iš jų","B",""
"IA-32 FPU sudaro keli komponentai. Kurie iš šių registrų/struktūrų yra FPU dalis?","Duomenų registrai ST0–ST7 (80 bitų kiekvienas)","Bendrosios paskirties registrai EAX–EDX","16 bitų kontrolės registras (Control) ir būsenos registras (STATUS)","128 bitų XMM registrai","A,C","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/General_floating_point_ko.svg/400px-General_floating_point_ko.svg.png"
"Atmintis IA-32 programavime naudojama trimis būdais. Kokie jie?","Registrams, FPU ir MMX posistemei","Duomenims, stekui ir programoms (instrukcijoms)","Vietiniams kintamiesiems, globaliniams kintamiesiems ir konstantoms","Kodui, duomenims ir kešui","B",""
"Operacija ADD IA-32 architektūroje palaiko kelis operandų derinius. Kurie iš šių yra galimi?","add <reg>, <reg>","add <mem>, <mem>","add <reg>, <mem>","add <mem>, <con>","A,C,D",""
"Stekas IA-32 architektūroje veikia LIFO (Last In – First Out) principu. Kas nutinka su ESP registro reikšme atlikus PUSH instrukciją?","ESP padidėja 4","ESP sumažėja 4 (stekas auga žemyn atmintyje)","ESP nesikeičia – jis rodo į steko dugną","ESP pereina į kitą segmentą","B",""
"Sekoje: `mov eax, 14; push eax; mov eax, 26; push eax; mov eax, 777; push eax; pop ebx; pop ecx` – kokia reikšmė bus EBX ir ECX registruose pabaigoje?","EBX = 14, ECX = 26","EBX = 777, ECX = 26","EBX = 26, ECX = 777","EBX = 777, ECX = 14","B",""
"Kuriose situacijose procesorius naudoja steką? Pasirinkite visus teisingus atsakymus.","Kviečiant paprogramę – išsaugoti grąžinimo adresą ir registrų būseną","Spartinančiosios atminties (cache) valdymui","Įvykus pertraukimui (interrupt) – laikinai išsaugoti procesoriaus būseną","Kai neužtenka registrų – laikinai saugoti tarpines reikšmes","A,C,D",""
"Paskaitoje pateiktas reverse string algoritmas naudoja ESI ir EDI registrus. Kokia jų paskirtis šiame algoritme?","ESI ir EDI abu rodo į eilutės pradžią","ESI rodo į eilutės pradžią, EDI – į eilutės pabaigą; simboliai apkeičiami vietomis artėjant vienas prie kito","ESI saugo eilutės ilgį, EDI – einamąjį simbolį","ESI ir EDI naudojami tik FPU operacijose","B",""
"Inline asemblerio sintaksė MSVC ir GCC kompiliatoriuose skiriasi. Kuo skiriasi GCC inline asm aprašas, palyginti su MSVC `__asm {}` bloku?","GCC naudoja `__asm {}` kaip MSVC, bet su kitokiais registrų pavadinimais","GCC naudoja `asm()` su išvesties, įvesties ir sugadintų registrų specifikavimo sekcijomis (`:`, `:`), o MSVC naudoja paprastesnį `__asm {}` bloką","GCC inline asm yra identiškas MSVC, tik kitaip rašoma instrukcija MOV","GCC nepalaiko inline asm – reikia atskiro .asm failo","B",""
"Remiantis paskaitoje pateikta vėliavų naudojimo statistika (Zsim tyrimas), kuris statusų flagas naudojamas dažniausiai Linux ir gzip darbo krūviuose?","Carry Flag (CF)","Zero Flag (ZF)","Overflow Flag (OF)","Parity Flag (PF)","B","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Eflags_register_layout.svg/500px-Eflags_register_layout.svg.png"
