"QUESTION";"A";"B";"C";"D";"ORDER";"SOURCE"
"Išdėstykite emuliacijos aplinkos sluoksnius nuo išorinio (fizinio) iki vidinio (artimiausiojo vykdomai programai).";"Svečio operacinė sistema (guest OS)";"Pagrindinio kompiuterio aparatinė įranga (host hardware)";"Pagrindinio kompiuterio operacinė sistema (host OS)";"Virtualiosios mašinos emuliatorius su virtualia aparatine įranga";"B,C,D,A";"09 Virtuali mašina"
"Išdėstykite 2 tipo (angl. hosted) virtualizacijos sluoksnius nuo žemiausio (fizinio) iki aukštesnio lygio – svečio virtualios aparatinės įrangos.";"Pagrindinio kompiuterio operacinė sistema (host OS)";"Svečio virtuali aparatinė įranga (guest virtual hardware)";"Pagrindinio kompiuterio aparatinė įranga (host hardware)";"Virtualiosios mašinos monitorius / hipervizorius (VM Monitor)";"C,A,D,B";"09 Virtuali mašina"
"Nurodykite, kokia tvarka vykdomos šios instrukcijos asemblerio fragmente (push ebx → xor ebx,ebx → mov ebx,7 → jz yup / jnz nope):";"jz yup įvykdomas — valdymas perduodamas žymei yup, nes ZF = 1";"xor ebx,ebx įvykdomas — ebx tampa 0 ir ZF nustatomas į 1";"mov ebx,7 įvykdomas — ebx = 7, tačiau ZF lieka 1 (MOV nekeičia vėliavų)";"push ebx išsaugo pradinę ebx reikšmę steke prieš modifikavimą";"D,B,C,A";"10 IA-32"
"Pateiktame kode (mov eax,14 / push eax → mov eax,26 / push eax → mov eax,777 / push eax → pop ebx → pop ecx → mov eax,23 / push eax) išdėstykite steko ir registrų būsenas teisinga vykdymo tvarka:";"Steke yra [777, 26, 14]; ebx ir ecx dar nepakeisti";"Steke yra [26, 14]; ebx = 777, ecx dar nenustatytas";"Steke yra [14]; ebx = 777, ecx = 26";"Steke yra [23, 14]; ebx = 777, ecx = 26";"A,B,C,D";"10 IA-32"
"Išdėstykite MMX registro naudojimo paveikslėlių išblukimo algoritme etapus teisinga vykdymo tvarka:";"Abu paveikslėlių masyvai perkeliami į MMX registrus (movd mm1, img1 ir movd mm2, img2)";"Pagalbinis registras išnulinamas ir abu registrai išpakuojami iš baitų į žodžius (pxor mm6,mm6 ir punpcklbw ×2)";"Atliekama atimtis su prisotinimu, poslinkis per 1 bitą dešinėn ir sudėtis su prisotinimu (psubusb, psrlw, paddusb)";"Žodžiai supakuojami atgal į baitus, rezultatas įrašomas į masyvą ir MMX registrai išvalomi (packuswb, movd, emms)";"A,B,C,D";"11 MMX ir SSE"
"Išdėstykite šio SSE kodo vykdymo žingsnius teisinga tvarka (4 float elementų kvadratinių šaknų skaičiavimas per XMM):";"movaps xmm0, [eax] — 4 float reikšmės įkeliamos iš atminties į XMM registrą";"sqrtps xmm0, xmm0 — kvadratinė šaknis apskaičiuojama vienu metu visiems 4 elementams lygiagrečiai";"mov eax, fptr — įvesties masyvo rodyklės adresas įrašomas į eax";"mov eax, fgptr ir movaps [eax], xmm0 — išvesties masyvo adresas įrašomas į eax ir rezultatai išsaugomi atmintyje";"C,A,B,D";"11 MMX ir SSE"
"Išdėstykite virtualaus atminties adreso vertimo į fizinį RAM adresą etapus teisinga vykdymo tvarka:";"Programa generuoja virtualų adresą kreipdamasi į kintamąjį";"MMU skaido virtualų adresą į puslapio numerį ir poslinkį (offset)";"Puslapių lentelėje puslapio numeris susiejamas su fiziniu kadrų (frame) adresu";"Fizinis adresas suformuojamas (kadro adresas + poslinkis) ir duomenys nuskaitomi iš RAM";"A,B,C,D";"12 Atminties valdymas"
"Išdėstykite HDD disko sektoriaus komponentus teisinga fizine tvarka nuo sektoriaus pradžios iki pabaigos:";"Duomenys (data payload — pats informacijos turinys)";"ECC (klaidų aptikimo ir taisymo kodas)";"Preamble (sinchronizacijos seka — sektoriaus pradžios ženklas)";"Adreso žymė (sektoriaus identifikatorius diske)";"C,D,A,B";"12 Atminties valdymas"
"Išdėstykite šias keturias 6 etapų konvejerio instrukcijos ciklo fazes teisinga vykdymo tvarka (FETCH ir STORE RESULT šiame klausime neįtraukti):";"EXECUTE — instrukcija atliekama ALU arba kitame vykdymo bloke";"FETCH OPERANDS — operandų reikšmės nuskaitomos iš registrų arba atminties";"DECODE — nustatomas instrukcijos tipas ir formatas";"EVALUATE ADDRESS — apskaičiuojami operandų atminties adresai";"C,D,B,A";"12 Pipeline"
"Išdėstykite šias keturias instrukcijas teisinga OPTIMIZUOTA tvarka (po kompiliatoriaus pertvarkymo duomenų konfliktui išvengti, kai skaičiuojama suma = a+b ir skirtumas = c-b):";"add eax, ebx — sudedamos a ir b reikšmės";"mov ebx, b — b reikšmė įkraunama į ebx";"sub ecx, ebx — skaičiuojamas c ir b skirtumas";"mov ecx, c — c reikšmė įkraunama į ecx (perkelta anksčiau konfliktui išvengti)";"B,D,A,C";"12 Pipeline"
"Išdėstykite spartinančiosios atminties skaitymo nepataikymo (cache miss) atvejo žingsnius teisinga tvarka:";"RAM blokas įkraunamas į rezervuotą spartinančiosios atminties eilutę (Load main memory block into cache line)";"Iš procesoriaus gaunamas skaitymo adresas RA (Receive address RA from CPU)";"Kreipiamasi į pagrindinę atmintį bloko, kuriame yra RA (Access main memory for block containing RA)";"Spartinančiosios atminties eilutė rezervuojama ateinančiam RAM blokui (Allocate cache line for main memory block)";"B,C,D,A";"14-1 Spartinančioji atmintis"
"Išdėstykite virtualaus adreso vertimo į duomenį iš spartinančiosios atminties žingsnius teisinga tvarka:";"Fizinis adresas išskaidomas į spartinančiosios atminties požymio bitus (cache tag) ir indekso bitus (cache index)";"Puslapio numeris ieškomas TLB retrospektyvajame buferyje ir konstruojamas fizinis adresas";"Virtualus adresas išskaidomas į puslapio numerį ir poslinkį (offset)";"Pagal cache indeksą surandama eilutė ir lyginami požymio bitai — nustatoma ar cache hit, ar miss";"C,B,A,D";"14-1 Spartinančioji atmintis"
"Išdėstykite viengubo buferio (single buffer) vaizdavimo ciklo etapus teisinga tvarka:";"Baigtas buferio vaizdas perkeliamas ir rodomas ekrane";"Buferis išvalomas — ekranas vis dar rodo ankstesnį kadrą";"Pirmasis kadras piešiamas ir skaičiuojamas į buferį; ekranas dar tuščias";"Sekantis kadras pradedamas piešti į buferį; kol ekranas rodo jau senąjį kadrą";"C,A,B,D";"14-2 Duomenų buferis"
"Išdėstykite šias keturias ciklinės eilės (dydis = 8) būsenas teisinga enqueue/dequeue operacijų tvarka:";"Eilėje [23, 318, 4, 11, 0, 15, 8]; front=3, back=1";"Eilėje [4, 11, 0, 15, 8]; front=3, back=7";"Eilėje [23, 318, 11, 0, 15, 8]; front=4, back=1";"Eilėje [23, 4, 11, 0, 15, 8]; front=3, back=0";"B,D,A,C";"14-2 Duomenų buferis"
